"","type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_6","label"
"5553","red",8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5,"bad",1
"5554","red",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,"bad",1
"5555","red",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,"bad",1
"5556","red",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,"good",1
"5557","red",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,"good",1
"5558","red",7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,"bad",1
"5559","red",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,"good",1
"5560","red",7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5,"bad",1
"5561","red",7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6,"good",1
"5563","red",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,"bad",1
"5564","red",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,"bad",1
"5565","red",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6,"good",1
"5567","red",10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,"bad",1
"5568","red",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,"good",1
"5569","red",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,"bad",1
"5570","red",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,"bad",1
"5571","red",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,"bad",1
"5572","red",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,"bad",1
"5573","red",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,"good",1
"5574","red",9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5,"bad",1
"5575","red",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,"good",1
"5576","red",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,"bad",1
"5577","red",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,"bad",1
"5578","red",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,"bad",1
"5579","red",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5,"bad",1
"5580","red",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6,"good",1
"5581","red",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,"bad",1
"5582","red",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,"bad",1
"5583","red",9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5,"bad",1
"5584","red",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,"bad",1
"5585","red",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5,"bad",1
"5586","red",9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,"bad",1
"5587","red",7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,"bad",1
"5588","red",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,"bad",1
"5589","red",7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,"bad",1
"5590","red",9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,"bad",1
"5591","red",8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,"bad",1
"5592","red",9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5,"bad",1
"5593","red",9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5,"bad",1
"5594","red",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,"good",1
"5595","red",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,"good",1
"5597","red",9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5,"bad",1
"5598","red",11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6,"good",1
"5599","red",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,"good",1
"5600","red",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,"good",1
"5602","red",7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,"bad",1
"5603","red",9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,"bad",1
"5604","red",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,"bad",1
"5605","red",7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,"bad",1
"5606","red",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,"bad",1
"5607","red",7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,"good",1
"5608","red",9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6,"good",1
"5609","red",10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,"bad",1
"5610","red",8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,"bad",1
"5611","red",8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,"bad",1
"5614","red",7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,"good",1
"5616","red",7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,"bad",1
"5617","red",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,"bad",1
"5618","red",7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,"bad",1
"5619","red",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,"bad",1
"5620","red",8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,"bad",1
"5621","red",7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5,"bad",1
"5623","red",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,"bad",1
"5624","red",9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5,"bad",1
"5625","red",8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6,"good",1
"5626","red",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,"bad",1
"5627","red",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,"bad",1
"5628","red",6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,"good",1
"5629","red",9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5,"bad",1
"5630","red",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,"bad",1
"5631","red",7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5,"bad",1
"5633","red",7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,"bad",1
"5634","red",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,"bad",1
"5635","red",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,"bad",1
"5636","red",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,"good",1
"5637","red",9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,"bad",1
"5638","red",9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5,"bad",1
"5639","red",8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6,"good",1
"5640","red",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5,"bad",1
"5641","red",6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,"bad",1
"5642","red",11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,"bad",1
"5643","red",11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5,"bad",1
"5644","red",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,"good",1
"5645","red",8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6,"good",1
"5646","red",8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5,"bad",1
"5647","red",7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6,"good",1
"5648","red",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,"good",1
"5650","red",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,"bad",1
"5652","red",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,"bad",1
"5653","red",7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6,"good",1
"5654","red",7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,"good",1
"5656","red",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,"bad",1
"5657","red",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,"bad",1
"5658","red",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,"bad",1
"5659","red",9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5,"bad",1
"5660","red",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,"bad",1
"5662","red",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,"bad",1
"5663","red",9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6,"good",1
"5664","red",9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6,"good",1
"5665","red",8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5,"bad",1
"5667","red",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,"good",1
"5669","red",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,"good",1
"5671","red",9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5,"bad",1
"5672","red",7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6,"good",1
"5673","red",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6,"good",1
"5674","red",7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,"bad",1
"5675","red",6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6,"good",1
"5676","red",6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6,"good",1
"5677","red",8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5,"bad",1
"5678","red",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5,"bad",1
"5679","red",7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,"good",1
"5680","red",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,"bad",1
"5681","red",9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,"bad",1
"5682","red",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,"bad",1
"5683","red",7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,"bad",1
"5687","red",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,"good",1
"5689","red",7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6,"good",1
"5690","red",8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,"bad",1
"5691","red",7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,"good",1
"5692","red",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5,"bad",1
"5694","red",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5,"bad",1
"5695","red",8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5,"bad",1
"5696","red",9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7,"good",1
"5697","red",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,"good",1
"5698","red",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,"good",1
"5699","red",7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5,"bad",1
"5700","red",8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,"bad",1
"5703","red",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,"good",1
"5704","red",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,"good",1
"5705","red",8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,"good",1
"5706","red",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,"good",1
"5707","red",7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,"bad",1
"5708","red",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,"good",1
"5709","red",7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5,"bad",1
"5710","red",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,"good",1
"5711","red",10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,"bad",1
"5712","red",6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4,"bad",1
"5715","red",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,6,"good",1
"5716","red",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6,"good",1
"5718","red",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,"bad",1
"5719","red",7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,"bad",1
"5720","red",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,"good",1
"5721","red",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,"bad",1
"5722","red",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,"bad",1
"5723","red",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,"bad",1
"5725","red",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,"good",1
"5726","red",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,"bad",1
"5727","red",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8,"good",1
"5728","red",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,"good",1
"5729","red",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4,"bad",1
"5730","red",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,"good",1
"5731","red",10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,"bad",1
"5732","red",11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,"bad",1
"5733","red",8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,"bad",1
"5734","red",7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,"bad",1
"5736","red",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,"good",1
"5737","red",10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7,"good",1
"5738","red",6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5,"bad",1
"5739","red",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7,"good",1
"5740","red",6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,"bad",1
"5741","red",10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6,"good",1
"5742","red",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5,"bad",1
"5743","red",9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,"good",1
"5744","red",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,"bad",1
"5745","red",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,"bad",1
"5747","red",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,"bad",1
"5749","red",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,"bad",1
"5751","red",8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,"bad",1
"5752","red",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,"good",1
"5753","red",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,"good",1
"5754","red",7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,"good",1
"5756","red",8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,"good",1
"5757","red",11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7,"good",1
"5758","red",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,"good",1
"5759","red",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,"bad",1
"5760","red",5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,"good",1
"5762","red",7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,"bad",1
"5763","red",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,"bad",1
"5764","red",7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,"bad",1
"5765","red",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6,"good",1
"5766","red",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6,"good",1
"5767","red",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,"good",1
"5768","red",7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6,"good",1
"5769","red",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,"good",1
"5770","red",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,"bad",1
"5772","red",9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,"good",1
"5773","red",10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7,"good",1
"5774","red",8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,"good",1
"5775","red",7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4,"bad",1
"5776","red",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,"good",1
"5777","red",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,"good",1
"5780","red",7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6,"good",1
"5783","red",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,"good",1
"5784","red",8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5,"bad",1
"5786","red",10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,"good",1
"5787","red",6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,"good",1
"5788","red",10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,"bad",1
"5789","red",7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,"bad",1
"5790","red",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,"bad",1
"5791","red",10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6,"good",1
"5792","red",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,"bad",1
"5793","red",7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6,"good",1
"5794","red",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,"good",1
"5796","red",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,"good",1
"5797","red",8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,"good",1
"5798","red",8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3,"bad",1
"5799","red",8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5,"bad",1
"5800","red",7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,"good",1
"5801","red",7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,"good",1
"5802","red",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,"good",1
"5803","red",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,"good",1
"5804","red",9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5,"bad",1
"5805","red",7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5,"bad",1
"5806","red",6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,"good",1
"5808","red",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,"good",1
"5809","red",9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6,"good",1
"5810","red",9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6,"good",1
"5811","red",10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6,"good",1
"5812","red",9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7,"good",1
"5813","red",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,"good",1
"5814","red",8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6,"good",1
"5815","red",5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5,"bad",1
"5818","red",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,"good",1
"5819","red",9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5,"bad",1
"5820","red",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,"good",1
"5821","red",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,"good",1
"5822","red",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,"good",1
"5823","red",8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,"bad",1
"5824","red",8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7,"good",1
"5825","red",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,"good",1
"5828","red",8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7,"good",1
"5829","red",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,"bad",1
"5830","red",7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,"bad",1
"5831","red",7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,"good",1
"5832","red",7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,"bad",1
"5833","red",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,"bad",1
"5834","red",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,"good",1
"5838","red",6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5,"bad",1
"5839","red",9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7,"good",1
"5840","red",9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7,"good",1
"5844","red",10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7,"good",1
"5845","red",10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7,"good",1
"5847","red",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,"good",1
"5848","red",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,"good",1
"5849","red",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,"good",1
"5851","red",8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7,"good",1
"5853","red",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,"good",1
"5854","red",8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,"bad",1
"5855","red",9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6,"good",1
"5857","red",6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7,"good",1
"5858","red",8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5,"bad",1
"5859","red",8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,"good",1
"5862","red",8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,"good",1
"5863","red",8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,"good",1
"5864","red",8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6,"good",1
"5866","red",8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5,"bad",1
"5867","red",9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6,"good",1
"5868","red",6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5,"bad",1
"5870","red",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,"good",1
